SID,FullAddress,Service,Company,EXID,Latitude,Longitude,GIS LAT,GIS LON
940888,"? COUNTY ROAD 1 SLATER, CO 81653",NO SM Qualifications,DUBOIS,1,,,40.911658,-107.348731
23993,"1 A COUNTY ROAD 561S SAVERY, WY 82332",1000MB/1000MB_Fiber,DUBOIS,1,41.025044,-107.449953,41.025044,-107.449953
945405,"1 A COUNTY ROAD 615 BAGGS, WY 82321",NO SM Qualifications,DUBOIS,1,,,41.050956,-107.621204
940486,"1 A FIR RD DUBOIS, WY 82513",30MB/10MB_4000,DUBOIS,3,,,43.578367,-109.809041
46262,"1 ABSAROKA CT DUBOIS, WY 82513",1000MB/1000MB_Fiber,DUBOIS,3,43.527737,-109.615403,43.527737,-109.615403
45451,"1 ASPEN DR DUBOIS, WY 82513",50MB/20MB_3000,DUBOIS,3,43.575982,-109.814632,43.575982,-109.814632
940411,"1 B  COUNTY ROAD 561S SAVERY, WY 82332",1000MB/1000MB_Fiber,DUBOIS,1,,,41.024948,-107.449774
902982,"1 BALD MOUNTAIN RD DUBOIS, WY 82513",NO SM Qualifications,DUBOIS,3,,,43.558103,-109.70384
45198,"1 BONNIE LN DUBOIS, WY 82513",1000MB/1000MB_Fiber,DUBOIS,3,43.519463,-109.605595,43.519463,-109.605595
23387,"1 CEDAR PLZ LOT 1 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.032138,-107.659761,41.032138,-107.659761
23399,"1 CEDAR PLZ LOT 10 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031662,-107.660888,41.031662,-107.660888
23391,"1 CEDAR PLZ LOT 11 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031582,-107.661004,41.031582,-107.661004
23392,"1 CEDAR PLZ LOT 12 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031535,-107.661116,41.031535,-107.661116
23393,"1 CEDAR PLZ LOT 13 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031524,-107.661262,41.031524,-107.661261
23394,"1 CEDAR PLZ LOT 14 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031468,-107.661396,41.031468,-107.661396
23398,"1 CEDAR PLZ LOT 15 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031474,-107.661581,41.031474,-107.661581
23395,"1 CEDAR PLZ LOT 16 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031453,-107.661845,41.031453,-107.661845
945730,"1 CEDAR PLZ LOT 17 BAGGS, WY 82321",NO SM Qualifications,DUBOIS,1,,,41.031449,-107.662106
23400,"1 CEDAR PLZ LOT 18 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.03169,-107.659694,41.03169,-107.659694
23402,"1 CEDAR PLZ LOT 19 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031748,-107.659847,41.031748,-107.659847
23396,"1 CEDAR PLZ LOT 2 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.032089,-107.659921,41.032089,-107.659921
945754,"1 CEDAR PLZ LOT 20 BAGGS, WY 82321",NO SM Qualifications,DUBOIS,1,,,41.031657,-107.660165
23401,"1 CEDAR PLZ LOT 21 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031454,-107.659713,41.031454,-107.659713
23403,"1 CEDAR PLZ LOT 22 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031485,-107.659939,41.031485,-107.659939
23886,"1 CEDAR PLZ LOT 23 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031501,-107.660109,41.031501,-107.660109
23404,"1 CEDAR PLZ LOT 24 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031455,-107.660234,41.031455,-107.660234
945743,"1 CEDAR PLZ LOT 25 BAGGS, WY 82321",NO SM Qualifications,DUBOIS,1,,,41.031417,-107.660456
23405,"1 CEDAR PLZ LOT 26 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031119,-107.659771,41.031119,-107.659771
945733,"1 CEDAR PLZ LOT 27 BAGGS, WY 82321",NO SM Qualifications,DUBOIS,1,,,41.031101,-107.659887
23786,"1 CEDAR PLZ LOT 28 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031119,-107.660007,41.031119,-107.660007
23406,"1 CEDAR PLZ LOT 29 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031131,-107.660203,41.031131,-107.660203
23903,"1 CEDAR PLZ LOT 3 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.032084,-107.660113,41.032084,-107.660113
945753,"1 CEDAR PLZ LOT 31 BAGGS, WY 82321",NO SM Qualifications,DUBOIS,1,,,41.031126,-107.660544
23409,"1 CEDAR PLZ LOT 32 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.03112,-107.660716,41.03112,-107.660716
23871,"1 CEDAR PLZ LOT 33 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031127,-107.660851,41.031127,-107.660851
945718,"1 CEDAR PLZ LOT 34 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,,,41.031066,-107.661069
945717,"1 CEDAR PLZ LOT 35 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,,,41.031086,-107.661184
23408,"1 CEDAR PLZ LOT 36 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031092,-107.6614,41.031092,-107.6614
23860,"1 CEDAR PLZ LOT 37 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031097,-107.66155,41.031097,-107.66155
23732,"1 CEDAR PLZ LOT 38 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.03106,-107.661696,41.03106,-107.661696
23861,"1 CEDAR PLZ LOT 39 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031081,-107.661882,41.031081,-107.661882
23388,"1 CEDAR PLZ LOT 4 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.03204,-107.660258,41.03204,-107.660258
945755,"1 CEDAR PLZ LOT 5 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,,,41.031952,-107.660334
23389,"1 CEDAR PLZ LOT 6 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031936,-107.660487,41.031936,-107.660487
945759,"1 CEDAR PLZ LOT 7 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,,,41.031835,-107.660662
23390,"1 CEDAR PLZ LOT 8 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031774,-107.660757,41.031774,-107.660757
23870,"1 CEDAR PLZ LOT 9 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031702,-107.660829,41.031702,-107.660829
45502,"1 CEDAR RD DUBOIS, WY 82513",50MB/20MB_3000,DUBOIS,3,43.572352,-109.815832,43.572352,-109.815832
23407,"1 CEDR PLZ LOT 30 BAGGS, WY 82321",1000MB/1000MB_Fiber,DUBOIS,1,41.031139,-107.660316,41.031139,-107.660316
338322,"1 COUNTY ROAD 607 DIXON, WY 82323",1000MB/1000MB_Fiber,DUBOIS,1,41.024366,-107.479357,41.024366,-107.479357
23678,"1 COUNTY ROAD 615 BAGGS, WY 82321",50MB/20MB_1900,DUBOIS,1,41.05122,-107.619877,41.05122,-107.619877
45069,"1 CRYSTAL AV DUBOIS, WY 82513",50MB/20MB_3000,DUBOIS,3,43.503558,-109.535785,43.503558,-109.535785
945360,"1 DIAMOND D RD DUBOIS, WY 82513",NO SM Qualifications,DUBOIS,3,,,43.566242,-109.631358
945363,"1 EAST FORK RD DUBOIS, WY 82513",1000MB/1000MB_Fiber,DUBOIS,3,,,43.454646,-109.474118
45424,"1 FIR RD DUBOIS, WY 82513",30MB/10MB_4000,DUBOIS,3,43.578175,-109.809275,43.578175,-109.809275
46498,"1 FISH HATCHERY CT DUBOIS, WY 82513",1000MB/1000MB_Fiber,DUBOIS,3,43.500724,-109.584523,43.500724,-109.584523
45526,"1 HIGH COUNTRY DR DUBOIS, WY 82513",1000MB/1000MB_Fiber,DUBOIS,3,43.687084,-109.769221,43.687084,-109.769221
46074,"1 HOUGH DUBOIS, WY 82513",NO SM Qualifications,DUBOIS,3,43.534068,-109.627021,43.534068,-109.627021
