SID,FullAddress,Service,Company,EXID,Latitude,Longitude,GIS LAT,GIS LON
34623,1616,NO SM Qualifications,Forsyth,30,,,45.80624,-107.017716
50750," UNKNOWN , SUNDANCE, WY,  Duplicate 36",1000MB/1000MB_Fiber,Forsyth,78,44.40730106,-104.3689933,44.407114,-104.368767
3718," WHITE BUFFALO LN BROADUS, MT 59317",10MB/1MB_10000,Forsyth,28,45.43841383,-105.4113181,45.438414,-105.411318
40194,"?? TONGUE RIVER RD MILES CITY, MT 59301",NO SM Qualifications,Forsyth,34,45.91158928,-106.1319806,45.911589,-106.131981
50833,"??? UNKNOWN DUP-75 SUNDANCE, WY 82729",1000MB/1000MB_Fiber,Forsyth,78,44.399326,-104.379132,44.399326,-104.379132
34716,"??? UNKNOWN RECLUSE, WY 82725",NO SM Qualifications,Forsyth,36,44.852903,-105.787967,44.852019,-105.777594
50849,???? UNKNOWN,NO SM Qualifications,Forsyth,78,44.405247,-104.375271,44.405247,-104.375271
34717,"???? UNKNOWN ARVADA, WY 82831",NO SM Qualifications,Forsyth,36,44.675004,-105.849676,44.675004,-105.849676
30766,"???? UNKNOWN DUP-2 DECKER, MT 59025",NO SM Qualifications,Forsyth,5,45.24284229,-106.8795408,45.242842,-106.879541
50719,"???? UNKNOWN DUP-20 SUNDANCE, WY 82729",Outside of SAI,Forsyth,78,44.387989,-104.376986,44.387989,-104.376986
50738,"???? UNKNOWN DUP-28 SUNDANCE, WY",NO SM Qualifications,Forsyth,78,44.400631,-104.374399,44.400631,-104.374399
30767,"???? UNKNOWN DUP-3 DECKER, MT 59025",NO SM Qualifications,Forsyth,5,45.13032516,-107.0077549,45.130325,-107.007755
50799,"???? UNKNOWN DUP-58 SUNDANCE, WY 82729",NO SM Qualifications,Forsyth,78,44.406772,-104.379271,44.406772,-104.379271
50832,"???? UNKNOWN DUP-74 SUNDANCE, WY 82729",NO SM Qualifications,Forsyth,78,44.39984,-104.378981,44.39984,-104.378981
34715,"???? UNKNOWN RECLUSE, WY 82725",NO SM Qualifications,Forsyth,36,44.853306,-105.788491,44.852174,-105.777755
50802,"????UNKNOWN DUP-60 SUNDANCE, WY 82729",NO SM Qualifications,Forsyth,78,44.40834,-104.375319,44.40834,-104.375319
50842,"????UNKNOWN DUP-77 SUNDANCE, WY 82729",NO SM Qualifications,Forsyth,78,44.406906,-104.383123,44.406886,-104.383043
50846,"????UNKNOWN DUP-79 SUNDANCE, WY 82729",NO SM Qualifications,Forsyth,78,44.402454,-104.3808,44.402454,-104.3808
50853,"????UNKNOWN DUP-83 SUNDANCE, WY 82729",NO SM Qualifications,Forsyth,78,44.40252,-104.377768,44.40252,-104.377768
3313,"1 A TURNBOUGH RD BROADUS, MT 59317",10MB/1MB_16000,Forsyth,28,,,45.457156,-105.318428
3702,"1 AIRPORT RD BROADUS, MT 59317",1000MB/1000MB_Fiber,Forsyth,28,45.43493352,-105.4097307,45.434898,-105.4095
37853,"1 BAKER PL FORSYTH, MT 59327",10MB/1MB_10000,Forsyth,25,46.27272008,-106.6497199,46.27272,-106.64972
21392,"1 BAY HORSE RANCH RD BIDDLE, MT 59314",10MB/1MB_16000,Forsyth,35,45.04204768,-105.5672701,45.042048,-105.56727
19727,"1 BEEGEES TR CT ASHLAND, MT 59003",10MB/1MB_10000,Forsyth,26,45.59673576,-106.2766743,45.596736,-106.276674
21186,"1 BELLE CREEK RD BROADUS, MT 59317",NO SM Qualifications,Forsyth,35,45.20107241,-105.318263,45.201072,-105.318263
945139,"1 CAMPERS PT RD DECKER, MT 59025",50MB/20MB_Wireless,Forsyth,5,,,45.100677,-106.792196
31828,"1 COLLEGE DR DUP-1 LAME DEER, MT 59043",NO SM Qualifications,Forsyth,31,45.62440119,-106.663817,45.624401,-106.663817
31829,"1 COLLEGE DR DUP-2 LAME DEER, MT 59043",10MB/1MB_10000,Forsyth,31,45.62559792,-106.6636678,45.625598,-106.663668
3412,"1 COUGAR CANYON RD BROADUS, MT 59317",NO SM Qualifications,Forsyth,28,45.48723092,-105.4825833,45.487231,-105.482583
37818,"1 DAGMAR PL FORSYTH, MT 59327",10MB/1MB_10000,Forsyth,25,46.2709012,-106.6469814,46.270901,-106.646981
34714,"1 DEAD HORSE RD BUFFALO, WY 82834",NO SM Qualifications,Forsyth,36,44.217822,-106.104899,44.217713,-106.105356
20318,"1 DENNIS LN ASHLAND, MT 59003",10MB/1MB_10000,Forsyth,26,45.5947043,-106.27739,45.594704,-106.27739
