SID,FullAddress,Service,Company,EXID,Latitude,Longitude,GIS LAT,GIS LON
921156,"1 AYERS NATURAL BRIDGE RD DOUGLAS, WY 82633",1000MB/1000MB_Fiber,Sheridan,45,,,42.798857,-105.621043
936599,"1 CHRIS LEDOUX WAY SHERIDAN, WY 82801",1000MB/1000MB_Fiber,Sheridan,41,,,44.837122,-106.987198
34145,"1 CRYSTAL CREEK DR SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,44.75047108,-106.9615884,44.750473,-106.961588
65495,"1 E ALGER AVE APT 208 SHERIDAN, WY 82801",15MB/5MB_4000,Sheridan,41,44.80091521,-106.9555059,44.800861,-106.955511
65529,"1 E ALGER AVE APT 211 SHERIDAN, WY 82801",15MB/5MB_4000,Sheridan,41,44.80091521,-106.9555059,44.800861,-106.955511
66578,"1 E ALGER AVE APT 217 SHERIDAN, WY 82801",15MB/5MB_4000,Sheridan,41,44.80091521,-106.9555059,44.800861,-106.955511
65531,"1 E ALGER AVE APT 224 SHERIDAN, WY 82801",15MB/5MB_4000,Sheridan,41,44.80091521,-106.9555059,44.800861,-106.955511
59697,"1 E ALGER AVE SHERIDAN, WY 82801",15MB/5MB_4000,Sheridan,41,44.80091521,-106.9555059,44.800861,-106.955511
901958,"1 E ALGER AVE UNIT UNKN SHERIDAN, WY 82801",15MB/5MB_4000,Sheridan,41,44.80091521,-106.9555059,44.800861,-106.955511
794185,"1 N MAIN ST BUFFALO, WY 82834",NO SM Qualifications,Sheridan,42,,,44.346952,-106.698593
64297,"1 N MAIN ST SHERIDAN, WY 82801",50MB/20MB_1900,Sheridan,41,44.797386,-106.955683,44.79742,-106.955582
33979,"1 PENO RD SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,44.76965792,-106.9152133,44.769733,-106.915566
64934,"1 PIPER RD SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,,,44.747398,-106.993463
59532,"1 S MAIN ST SHERIDAN, WY 82801",30MB/10MB_2500,Sheridan,41,44.7977941,-106.9558662,44.797139,-106.955569
66934,"1 S SCOTT ST APT 2 SHERIDAN, WY 82801",1000MB/1000MB_Fiber,Sheridan,41,44.797089,-106.953057,44.797081,-106.952942
61800,"1 S SCOTT ST SHERIDAN, WY 82801",1000MB/1000MB_Fiber,Sheridan,41,44.797089,-106.953057,44.797081,-106.952942
927250,"1 S SCOTT ST UNIT UNKN SHERIDAN, WY 82801",1000MB/1000MB_Fiber,Sheridan,41,44.797089,-106.953057,44.797081,-106.952942
61336,"1 S TSCHIRGI ST SHERIDAN, WY 82801",30MB/10MB_Wireless,Sheridan,41,44.79717398,-106.9581367,44.797005,-106.957992
930291,"1 SHERRI VIEW CT SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,,,44.732642,-106.970196
34238,"10 E BRUNDAGE LN SHERIDAN, WY 82801",1000MB/1000MB_Fiber,Sheridan,41,44.77308438,-106.956827,44.773052,-106.956855
33973,"10 E MONTANA ST SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,44.78645015,-106.9555728,44.786497,-106.955669
34201,"10 N BADGER ST SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,44.79757341,-106.9675312,44.797598,-106.967701
792563,"10 N MAIN ST BUFFALO, WY 82834",1000MB/1000MB_Fiber,Sheridan,42,,,44.347024,-106.699126
33934,"10 PIPER RD SHERIDAN, WY 82801",NO SM Qualifications,Sheridan,41,44.74675336,-106.9945334,44.746755,-106.994533
