SID,FullAddress,Service,Company,EXID,Latitude,Longitude,GIS LAT,GIS LON
29451,36,NO SM Qualifications,Worland,17,43.840777,-104.171783,43.840777,-104.171783
7683,117,NO SM Qualifications,Worland,21,43.646886,-108.209878,43.646886,-108.209878
15921,343,30MB/10MB_2500,Worland,14,43.710744,-106.636062,43.710744,-106.636062
7648,645,1000MB/1000MB_Fiber,Worland,21,43.646909,-108.213359,43.646909,-108.213359
26225,25955,NO SM Qualifications,Worland,17,43.627436,-104.01119,43.627436,-104.01119
8287,"1 AIRPORT RD THERMOPOLIS, WY 82443",1000MB/1000MB_Fiber,Worland,21,43.652265,-108.214175,43.652265,-108.214175
18768,"1 ALPINE RD UPTON, WY 82730",NO SM Qualifications,Worland,22,44.071158,-104.590592,44.071158,-104.590592
27508,"1 AXE COURT DR NEWCASTLE, WY 82701",10MB/1MB_10000,Worland,17,43.845204,-104.239251,43.845204,-104.239251
17184,"1 CACTUS ST PINE HAVEN, WY 82721",50MB/20MB_1900,Worland,16,44.359686,-104.811412,44.359686,-104.811412
17418,"1 CARLSON DR MOORCROFT, WY 82721",10MB/1MB_16000,Worland,16,44.307108,-105.033988,44.307108,-105.033988
17229,"1 CEDAR HILLS DR PINE HAVEN, WY 82721",50MB/20MB_1900,Worland,16,44.357703,-104.813918,44.357703,-104.813918
17148,"1 E PINE ST PINE HAVEN, WY 82721",10MB/1MB_10000,Worland,16,44.364819,-104.807391,44.364819,-104.807391
26824,"1 ELK GROVE TRL NEWCASTLE, WY 82701",50MB/20MB_3000,Worland,17,43.989446,-104.202765,43.989446,-104.202765
17604,"1 ENOS CT MOORCROFT, WY 82721",10MB/1MB_10000,Worland,16,44.270639,-104.949666,44.270639,-104.949666
24782,"1 FORKS RD HULETT, WY 82720",10MB/1MB_16000,Worland,12,44.693914,-104.590767,44.693914,-104.590767
945298,"1 GERBERVILLE RD UPTON, WY 82730",1000MB/1000MB_Fiber,Worland,22,,,44.033512,-104.547046
17129,"1 HARWOOD ST PINE HAVEN, WY 82721",50MB/20MB_1900,Worland,16,44.354617,-104.811516,44.354617,-104.811516
945808,"1 HOMESTEAD LOOP HULETT, WY 82720",NO SM Qualifications,Worland,12,,,44.705301,-104.778951
16262,"1 LAGOON DR KAYCEE, WY 82639",NO SM Qualifications,Worland,14,43.7061,-106.635771,43.7061,-106.635771
17192,"1 LAKECOURT DR PINE HAVEN, WY 82721",10MB/1MB_10000,Worland,16,44.356119,-104.816679,44.356119,-104.816679
25063,"1 LAME JONES RD ALVA, WY 82711",50MB/20MB_3000,Worland,12,44.693779,-104.440133,44.694056,-104.440041
18088,"1 LUCIAN LN MOORCROFT, WY 82721",10MB/1MB_10000,Worland,16,44.257104,-104.940242,44.257104,-104.940242
2123,"1 LUCKY MAC GAS HILLS, WY 82501",NO SM Qualifications,Worland,11,42.815649,-107.615132,42.815649,-107.615132
940245,"1 MARLIN TRL SUNDANCE, WY 82729",1000MB/1000MB_Fiber,Worland,22,44.220266,-104.497099,44.220266,-104.497099
63281,"1 MCKINNEY LN PINE HAVEN, WY 82721",NO SM Qualifications,Worland,16,44.359912,-104.830231,44.359912,-104.830231
26836,"1 MOUNT PISGAH NORTH NEWCASTLE, WY 82701",NO SM Qualifications,Worland,17,43.994755,-104.144665,43.994755,-104.144665
26835,"1 MOUNT PISGAH SOUTH NEWCASTLE, WY 82701",NO SM Qualifications,Worland,17,43.994798,-104.144029,43.994798,-104.144029
63886,"1 MUSKRAT RD SHOSHONI, WY 82649",1000MB/1000MB_Fiber,Worland,20,,,43.231085,-108.11055
28128,"1 MUSSER RD NEWCASTLE, WY 82701",1000MB/1000MB_Fiber,Worland,17,43.855316,-104.186371,43.85563,-104.186266
25027,"1 POWDER HORN LN HULETT, WY 82720",30MB/10MB_4000,Worland,12,44.679822,-104.600561,44.679822,-104.600561
27768,"1 RIDGECREST DR NEWCASTLE, WY 82701",10MB/1MB_10000,Worland,17,43.859823,-104.199797,43.859823,-104.199797
16434,"1 S OF KAYCEE KAYCEE, WY 82639",NO SM Qualifications,Worland,14,43.394423,-106.763472,43.394423,-106.763472
28024,"1 S SENECA AVE APT 1 NEWCASTLE, WY 82701",10MB/1MB_10000,Worland,17,,,43.854582,-104.203956
