FullAddress,SID,PID,EXID,Service,Longitude,Latitude,Company,_overlaps
1304 FIFTEEN MILE RD WORLAND WY 82401,919889,,23,Outside of SAI,-108.0474432,44.03660527,Worland,
1302 FIFTEEN MILE RD WORLAND WY 82401,910794,,23,Outside of SAI,-108.0470078,44.03601259,Worland,
135 TA BI DR WORLAND WY 82401,945873,,23,Outside of SAI,-107.9398407,43.98528793,Worland,
173 TURKEY PAW RD SUNDANCE WY 82729,945998,,16,Outside of SAI,-104.6602579,44.47642592,Worland,
100 N 1ST ST HUDSON WY 82515,933926,,60,Outside of SAI,-108.5829699,42.90614674,Sheridan,
317 CAVE SPRINGS RD NEWCASTLE WY 82701,947296,,17,Outside of SAI,-104.2219414,43.88106807,Worland,
24640 US HIGHWAY 85 FOUR CORNERS WY 82715,945863,,17,Outside of SAI,-104.1402183,44.07086896,Worland,
321 CAMBRIA CANYON RD NEWCASTLE WY 82701,945887,,17,Outside of SAI,-104.240625,43.90033246,Worland,
431 CAVE SPRINGS RD NEWCASTLE WY 82701,946265,,17,Outside of SAI,-104.2568833,43.88942489,Worland,
245 CAMBRIA CANYON RD NEWCASTLE WY 82701,945886,,17,Outside of SAI,-104.2363182,43.89273827,Worland,
199 CAMBRIA CANYON RD NEWCASTLE WY 82701,945884,,17,Outside of SAI,-104.2245903,43.88557441,Worland,
26408 OLD HIGHWAY 87 KAYCEE WY 82639,62058,,14,Outside of SAI,-106.6830024,43.84847868,Worland,
26 RED ROCK TRL DEVILS TOWER WY 82714,942450,,12,Outside of SAI,-104.6490938,44.57691456,Worland,
1212 W B ST BASIN WY 82410,946742,,,Outside of SAI,-108.0532617,44.38046234,,
8 STATE HIGHWAY 436 TEN SLEEP WY 82442,929569,,,Outside of SAI,-107.3519754,44.02768668,,
1095 A RD 56 TEN SLEEP WY 82442,910111,,,Outside of SAI,-107.2188488,43.98588031,,
1291 AIRPORT RD WORLAND WY 82401,13785,,23,Outside of SAI,-107.9497229,43.99574466,Worland,
1340 WAGNER RD MOORCROFT WY 82721,945640,,22,Outside of SAI,-104.6653732,44.18169289,Worland,
