SID,PID,FullAddress,Service,Company,EXID,Longitude,Latitude
919889,,"1304 FIFTEEN MILE RD WORLAND, WY 82401",Outside of SAI,Worland,23,-108.04744324273834,44.03660526658958
910794,,"1302 FIFTEEN MILE RD WORLAND, WY 82401",Outside of SAI,Worland,23,-108.04700783477344,44.03601259180019
945873,,"135 TA BI DR WORLAND, WY 82401",Outside of SAI,Worland,23,-107.93984074259076,43.98528793156826
945998,,"173 TURKEY PAW RD SUNDANCE, WY 82729",Outside of SAI,Worland,16,-104.66025789590884,44.476425921373206
933926,,"100 N 1ST ST HUDSON, WY 82515",Outside of SAI,Sheridan,60,-108.58296990406504,42.90614673649961
945863,,"24640 US HIGHWAY 85 FOUR CORNERS, WY 82715",Outside of SAI,Worland,17,-104.14021833611079,44.07086895990337
945887,,"321 CAMBRIA CANYON RD NEWCASTLE, WY 82701",Outside of SAI,Worland,17,-104.24062502279963,43.90033246155736
946265,,"431 CAVE SPRINGS RD NEWCASTLE, WY 82701",Outside of SAI,Worland,17,-104.25688332925465,43.88942488889714
945886,,"245 CAMBRIA CANYON RD NEWCASTLE, WY 82701",Outside of SAI,Worland,17,-104.23631817486623,43.89273826626254
945884,,"199 CAMBRIA CANYON RD NEWCASTLE, WY 82701",Outside of SAI,Worland,17,-104.22459033455928,43.88557440794567
62058,,"26408 OLD HIGHWAY 87 KAYCEE, WY 82639",Outside of SAI,Worland,14,-106.68300241176307,43.848478680477974
942450,,"26 RED ROCK TRL DEVILS TOWER, WY 82714",Outside of SAI,Worland,12,-104.64909382431006,44.576914562670424
929569,,"8 STATE HIGHWAY 436 TEN SLEEP, WY 82442",Outside of SAI,,,-107.35197539890832,44.027686682611765
910111,,"1095 A RD 56 TEN SLEEP, WY 82442",Outside of SAI,,,-107.21884877019694,43.985880306442155
13785,,"1291 AIRPORT RD WORLAND, WY 82401",Outside of SAI,Worland,23,-107.94972287697989,43.99574465563606
945640,,"1340 WAGNER RD MOORCROFT, WY 82721",Outside of SAI,Worland,22,-104.66537321390763,44.1816928927595
903114,,"1155 OIL CITY RD OSAGE, WY 82723",Outside of SAI,Worland,17,-104.48784184533442,43.974193721000766
947047,,"1718 BUFFALO CREEK RD MOORCROFT, WY 82721",Outside of SAI,Worland,22,-104.85216761175776,44.17746797736157
946754,,"1689 LUPIN RD UPTON, WY 82730",Outside of SAI,Worland,22,-104.52173236724093,44.0385053411274
946216,,"1453 LUPIN RD UPTON, WY 82730",Outside of SAI,Worland,22,-104.51999437701508,44.037044875135514
942478,,"1325 LUPIN RD UPTON, WY 82730",Outside of SAI,Worland,22,-104.52069096952135,44.03754290719744
946584,,"1307 LUPIN RD UPTON, WY 82730",Outside of SAI,Worland,22,-104.52165956194733,44.04116324091241
946264,,"457 LUPIN RD UPTON, WY 82730",Outside of SAI,Worland,22,-104.53928575364381,44.04521727070808
946031,,"8 STELLA LN MOORCROFT, WY 82721",Outside of SAI,Worland,22,-104.70083371803642,44.26136603530759
945972,,"188  KARA CIR SUNDANCE, WY 82729",Outside of SAI,Worland,22,-104.54610732763177,44.26775816024278
945875,,"919 PENNYCRESS LN UPTON, WY 82730",Outside of SAI,Worland,22,-104.52916579045436,44.041062945732456
945349,,"920 PENNYCRESS LN UPTON, WY 82730",Outside of SAI,Worland,22,-104.5294611734958,44.04148359971585
18609,,"215 KARA CIR SUNDANCE, WY 82729",Outside of SAI,Worland,22,-104.55029014097326,44.266338456821025
945654,,"1329 WAGNER RD MOORCROFT, WY 82721",Outside of SAI,Worland,22,-104.67642108179601,44.18648598931219
945653,,"1330 WAGNER RD MOORCROFT, WY 82721",Outside of SAI,Worland,22,-104.67811236053976,44.18505579933162
