FullAddress,SID,PID,EXID,Service,Latitude,Longitude,Company,_overlaps
1304 FIFTEEN MILE RD WORLAND WY 82401,919889,,23,Outside of SAI,44.03660526658960,-108.04744324273800,Worland,
1302 FIFTEEN MILE RD WORLAND WY 82401,910794,,23,Outside of SAI,44.03601259180020,-108.04700783477300,Worland,
135 TA BI DR WORLAND WY 82401,945873,,23,Outside of SAI,43.98528793156830,-107.93984074259100,Worland,
173 TURKEY PAW RD SUNDANCE WY 82729,945998,,16,Outside of SAI,44.476425921373200,-104.66025789590900,Worland,
100 N 1ST ST HUDSON WY 82515,933926,,60,Outside of SAI,42.90614673649960,-108.58296990406500,Sheridan,
24640 US HIGHWAY 85 FOUR CORNERS WY 82715,945863,,17,Outside of SAI,44.07086895990340,-104.14021833611100,Worland,
321 CAMBRIA CANYON RD NEWCASTLE WY 82701,945887,,17,Outside of SAI,43.90033246155740,-104.24062502280000,Worland,
431 CAVE SPRINGS RD NEWCASTLE WY 82701,946265,,17,Outside of SAI,43.88942488889710,-104.25688332925500,Worland,
245 CAMBRIA CANYON RD NEWCASTLE WY 82701,945886,,17,Outside of SAI,43.89273826626250,-104.23631817486600,Worland,
199 CAMBRIA CANYON RD NEWCASTLE WY 82701,945884,,17,Outside of SAI,43.88557440794570,-104.22459033455900,Worland,
26408 OLD HIGHWAY 87 KAYCEE WY 82639,62058,,14,Outside of SAI,43.848478680478000,-106.68300241176300,Worland,
26 RED ROCK TRL DEVILS TOWER WY 82714,942450,,12,Outside of SAI,44.576914562670400,-104.64909382431000,Worland,
8 STATE HIGHWAY 436 TEN SLEEP WY 82442,929569,,,Outside of SAI,44.027686682611800,-107.35197539890800,,
1095 A RD 56 TEN SLEEP WY 82442,910111,,,Outside of SAI,43.985880306442200,-107.21884877019700,,
1291 AIRPORT RD WORLAND WY 82401,13785,,23,Outside of SAI,43.99574465563610,-107.94972287698000,Worland,
1340 WAGNER RD MOORCROFT WY 82721,945640,,22,Outside of SAI,44.1816928927595,-104.66537321390800,Worland,
